group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
class:Basic,11,20,3409,31120,0.55,0.10954370179948586,5.020827222059255,9.935171604576123,1.7973261438845302e-06,True
type:ARG,6,20,1494,31120,0.3,0.04800771208226221,6.2489959839357425,8.498565691336776,0.0002673177296952185,True
type:LYS,4,20,1076,31120,0.2,0.03457583547557841,5.784386617100371,6.980483271375465,0.004470300902965036,True
flag:is_polar,15,20,16065,31120,0.75,0.5162275064267352,1.4528478057889822,2.811391223155929,0.02907351275228639,True
type:PHE,3,20,1617,31120,0.15,0.05196015424164525,2.8868274582560294,3.219797009712976,0.08281560314471699,False
type:GLU,2,20,1138,31120,0.1,0.03656812339331619,2.7346221441124783,2.9273579379027534,0.16519759254164182,False
flag:is_aromatic,5,20,4735,31120,0.25,0.15215295629820053,1.6430834213305172,1.8574445617740232,0.1777622522387433,False
class:Aromatic,4,20,3896,31120,0.2,0.12519280205655528,1.5975359342915811,1.7469199178644763,0.23570064275878239,False
class:Acidic,3,20,2697,31120,0.15,0.08666452442159384,1.7308120133481644,1.859778839233135,0.24828769830981667,False
type:MET,1,20,479,31120,0.05,0.015392030848329049,3.248434237995825,3.366772882100868,0.2671259511997679,False
class:Sulfur,1,20,779,31120,0.05,0.025032133676092545,1.9974326059050065,2.049929058847375,0.3980019670486918,False
type:HIS,1,20,839,31120,0.05,0.026960154241645246,1.8545887961859358,1.8995671538799324,0.4213620500370194,False
type:ASP,1,20,1559,31120,0.05,0.050096401028277636,0.9980756895445799,0.9979744100469262,0.6423556070990606,False
type:TYR,1,20,1559,31120,0.05,0.050096401028277636,0.9980756895445799,0.9979744100469262,0.6423556070990606,False
type:ASN,1,20,2459,31120,0.05,0.07901670951156813,0.6327775518503457,0.6134500545793112,0.8072548810189999,False
class:Polar_uncharged,1,20,9959,31120,0.05,0.3200192802056555,0.15624058640425748,0.11183219621500785,0.9995523895588746,False
type:GLY,0,20,2220,31120,0.0,0.07133676092544987,0.0,0.0,1.0,False
type:LEU,0,20,1920,31120,0.0,0.061696658097686374,0.0,0.0,1.0,False
type:ILE,0,20,1140,31120,0.0,0.036632390745501286,0.0,0.0,1.0,False
type:PRO,0,20,1980,31120,0.0,0.06362467866323908,0.0,0.0,1.0,False
type:THR,0,20,2700,31120,0.0,0.08676092544987146,0.0,0.0,1.0,False
type:SER,0,20,2880,31120,0.0,0.09254498714652956,0.0,0.0,1.0,False
type:GLN,0,20,1920,31120,0.0,0.061696658097686374,0.0,0.0,1.0,False
type:CYS,0,20,300,31120,0.0,0.009640102827763496,0.0,0.0,1.0,False
type:VAL,0,20,1740,31120,0.0,0.055912596401028275,0.0,0.0,1.0,False
type:ALA,0,20,1380,31120,0.0,0.04434447300771208,0.0,0.0,1.0,False
type:TRP,0,20,720,31120,0.0,0.02313624678663239,0.0,0.0,1.0,False
class:Special,0,20,4200,31120,0.0,0.13496143958868895,0.0,0.0,1.0,False
flag:is_charged,20,20,31120,31120,1.0,1.0,1.0,,1.0,False
class:Aliphatic,0,20,6180,31120,0.0,0.198586118251928,0.0,0.0,1.0,False
