region_type,length_center_A,count
3F,2.425,0
3F,2.475,0
3F,2.525,2
3F,2.575,12
3F,2.625,50
3F,2.675,125
3F,2.725,291
3F,2.775,620
3F,2.825,986
3F,2.875,1289
3F,2.925,1611
3F,2.975,1830
3F,3.025,1887
3F,3.075,1729
3F,3.125,1776
3F,3.175,1542
3F,3.225,1475
3F,3.275,1375
3F,3.325,1203
3F,3.375,1142
3F,3.425,1011
3F,3.475,853
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,0
5F,2.575,6
5F,2.625,9
5F,2.675,48
5F,2.725,90
5F,2.775,221
5F,2.825,319
5F,2.875,419
5F,2.925,547
5F,2.975,615
5F,3.025,628
5F,3.075,574
5F,3.125,542
5F,3.175,494
5F,3.225,487
5F,3.275,470
5F,3.325,391
5F,3.375,321
5F,3.425,324
5F,3.475,285
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,2
neither,2.625,6
neither,2.675,20
neither,2.725,33
neither,2.775,59
neither,2.825,93
neither,2.875,114
neither,2.925,124
neither,2.975,100
neither,3.025,119
neither,3.075,118
neither,3.125,106
neither,3.175,105
neither,3.225,114
neither,3.275,80
neither,3.325,100
neither,3.375,60
neither,3.425,67
neither,3.475,59
neither,3.525,0
neither,3.575,0
