region_type,length_center_A,count
3F,2.425,0
3F,2.475,0
3F,2.525,2
3F,2.575,7
3F,2.625,28
3F,2.675,77
3F,2.725,211
3F,2.775,353
3F,2.825,633
3F,2.875,773
3F,2.925,984
3F,2.975,1082
3F,3.025,1159
3F,3.075,1155
3F,3.125,1119
3F,3.175,1062
3F,3.225,912
3F,3.275,840
3F,3.325,798
3F,3.375,734
3F,3.425,669
3F,3.475,615
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,0
5F,2.575,2
5F,2.625,5
5F,2.675,15
5F,2.725,34
5F,2.775,77
5F,2.825,115
5F,2.875,134
5F,2.925,190
5F,2.975,180
5F,3.025,178
5F,3.075,226
5F,3.125,181
5F,3.175,186
5F,3.225,172
5F,3.275,169
5F,3.325,152
5F,3.375,129
5F,3.425,115
5F,3.475,109
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,0
neither,2.625,0
neither,2.675,2
neither,2.725,2
neither,2.775,2
neither,2.825,2
neither,2.875,7
neither,2.925,10
neither,2.975,14
neither,3.025,15
neither,3.075,11
neither,3.125,12
neither,3.175,14
neither,3.225,7
neither,3.275,10
neither,3.325,8
neither,3.375,11
neither,3.425,9
neither,3.475,8
neither,3.525,0
neither,3.575,0
