region_type,length_center_A,count
3F,2.425,0
3F,2.475,0
3F,2.525,2
3F,2.575,5
3F,2.625,35
3F,2.675,109
3F,2.725,257
3F,2.775,493
3F,2.825,795
3F,2.875,1083
3F,2.925,1309
3F,2.975,1499
3F,3.025,1589
3F,3.075,1580
3F,3.125,1587
3F,3.175,1495
3F,3.225,1321
3F,3.275,1204
3F,3.325,1114
3F,3.375,983
3F,3.425,965
3F,3.475,927
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,0
5F,2.575,3
5F,2.625,27
5F,2.675,98
5F,2.725,158
5F,2.775,328
5F,2.825,457
5F,2.875,584
5F,2.925,710
5F,2.975,837
5F,3.025,868
5F,3.075,858
5F,3.125,735
5F,3.175,765
5F,3.225,665
5F,3.275,597
5F,3.325,570
5F,3.375,515
5F,3.425,466
5F,3.475,423
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,0
neither,2.625,2
neither,2.675,3
neither,2.725,13
neither,2.775,26
neither,2.825,36
neither,2.875,46
neither,2.925,76
neither,2.975,71
neither,3.025,87
neither,3.075,76
neither,3.125,66
neither,3.175,57
neither,3.225,50
neither,3.275,44
neither,3.325,51
neither,3.375,43
neither,3.425,42
neither,3.475,38
neither,3.525,0
neither,3.575,0
