region_type,length_center_A,count
3F,2.425,0
3F,2.475,2
3F,2.525,11
3F,2.575,59
3F,2.625,298
3F,2.675,797
3F,2.725,1992
3F,2.775,3655
3F,2.825,5788
3F,2.875,7919
3F,2.925,9735
3F,2.975,10870
3F,3.025,11180
3F,3.075,11152
3F,3.125,10796
3F,3.175,10005
3F,3.225,9344
3F,3.275,8487
3F,3.325,7705
3F,3.375,7304
3F,3.425,6762
3F,3.475,6157
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,3
5F,2.575,21
5F,2.625,96
5F,2.675,286
5F,2.725,674
5F,2.775,1269
5F,2.825,1940
5F,2.875,2705
5F,2.925,3235
5F,2.975,3614
5F,3.025,3753
5F,3.075,3625
5F,3.125,3500
5F,3.175,3071
5F,3.225,2909
5F,3.275,2634
5F,3.325,2458
5F,3.375,2222
5F,3.425,1945
5F,3.475,1811
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,4
neither,2.625,15
neither,2.675,40
neither,2.725,97
neither,2.775,168
neither,2.825,255
neither,2.875,352
neither,2.925,400
neither,2.975,439
neither,3.025,486
neither,3.075,421
neither,3.125,425
neither,3.175,392
neither,3.225,377
neither,3.275,335
neither,3.325,325
neither,3.375,271
neither,3.425,273
neither,3.475,233
neither,3.525,0
neither,3.575,0
