region_type,length_center_A,count
3F,2.425,1
3F,2.475,1
3F,2.525,10
3F,2.575,69
3F,2.625,298
3F,2.675,881
3F,2.725,2127
3F,2.775,4082
3F,2.825,6435
3F,2.875,8822
3F,2.925,10936
3F,2.975,12076
3F,3.025,12292
3F,3.075,12444
3F,3.125,11852
3F,3.175,11171
3F,3.225,10179
3F,3.275,9209
3F,3.325,8594
3F,3.375,7742
3F,3.425,7312
3F,3.475,6726
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,4
5F,2.575,11
5F,2.625,92
5F,2.675,278
5F,2.725,629
5F,2.775,1158
5F,2.825,1715
5F,2.875,2360
5F,2.925,2758
5F,2.975,3099
5F,3.025,3271
5F,3.075,3201
5F,3.125,3118
5F,3.175,2835
5F,3.225,2675
5F,3.275,2503
5F,3.325,2252
5F,3.375,1977
5F,3.425,1897
5F,3.475,1857
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,2
neither,2.625,17
neither,2.675,45
neither,2.725,86
neither,2.775,158
neither,2.825,282
neither,2.875,386
neither,2.925,473
neither,2.975,550
neither,3.025,632
neither,3.075,643
neither,3.125,607
neither,3.175,529
neither,3.225,576
neither,3.275,472
neither,3.325,462
neither,3.375,420
neither,3.425,360
neither,3.475,371
neither,3.525,0
neither,3.575,0
