group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
class:Basic,4,20,2996,31120,0.2,0.09627249357326478,2.0774365821094793,2.346795727636849,0.12004115809709892,False
type:LYS,2,20,1018,31120,0.1,0.0327120822622108,3.056974459724951,3.2855271774721677,0.13829925890931627,False
type:GLN,3,20,2037,31120,0.15,0.06545629820051414,2.29160530191458,2.519535649311271,0.1395674464638402,False
type:GLU,2,20,1138,31120,0.1,0.03656812339331619,2.7346221441124783,2.9273579379027534,0.16519759254164182,False
type:ARG,2,20,1258,31120,0.1,0.040424164524421595,2.4737678855325913,2.6375198728139906,0.19301092078445514,False
class:Acidic,3,20,2397,31120,0.15,0.07702442159383033,1.9474342928660826,2.1146285798424502,0.196630132226374,False
flag:is_polar,12,20,15648,31120,0.6,0.502827763496144,1.193251533742331,1.4831288343558282,0.26005905696257553,False
type:MET,1,20,479,31120,0.05,0.015392030848329049,3.248434237995825,3.366772882100868,0.2671259511997679,False
type:PHE,2,20,1618,31120,0.1,0.05199228791773779,1.92336217552534,2.025957972805933,0.27943967520385243,False
class:Special,4,20,4496,31120,0.2,0.14447300771208227,1.3843416370106763,1.480427046263345,0.32569309059613427,False
type:PRO,2,20,2038,31120,0.1,0.06548843187660669,1.5269872423945043,1.5855413804383383,0.380485397315514,False
class:Sulfur,1,20,779,31120,0.05,0.025032133676092545,1.9974326059050065,2.049929058847375,0.3980019670486918,False
type:GLY,2,20,2458,31120,0.1,0.07898457583547558,1.2660699755899105,1.2956333062110117,0.4763850630131659,False
class:Aromatic,3,20,3957,31120,0.15,0.1271529562982005,1.1796815769522366,1.211390090532043,0.4766488357162241,False
type:ASP,1,20,1259,31120,0.05,0.04045629820051414,1.2359015091342336,1.2483173780360353,0.5623490148298183,False
flag:is_aromatic,3,20,4677,31120,0.15,0.1502892030848329,0.9980756895445798,0.9977361053465645,0.5965726093980238,False
type:TYR,1,20,1619,31120,0.05,0.05202442159383033,0.9610870907967882,0.9590390429439876,0.6565927829629385,False
type:SER,1,20,2399,31120,0.05,0.07708868894601542,0.6486035848270113,0.6301090366600118,0.7990251402721299,False
class:Polar_uncharged,5,20,10255,31120,0.25,0.32953084832904883,0.7586543149683082,0.6782057532910776,0.83997835719381,False
type:ASN,1,20,2819,31120,0.05,0.09058483290488432,0.5519687832564739,0.5283881929015515,0.8502975737620042,False
type:VAL,0,20,1320,31120,0.0,0.042416452442159386,0.0,0.0,1.0,False
type:HIS,0,20,720,31120,0.0,0.02313624678663239,0.0,0.0,1.0,False
type:LEU,0,20,2100,31120,0.0,0.06748071979434447,0.0,0.0,1.0,False
type:CYS,0,20,300,31120,0.0,0.009640102827763496,0.0,0.0,1.0,False
type:THR,0,20,3000,31120,0.0,0.09640102827763496,0.0,0.0,1.0,False
type:ALA,0,20,1500,31120,0.0,0.04820051413881748,0.0,0.0,1.0,False
type:ILE,0,20,1320,31120,0.0,0.042416452442159386,0.0,0.0,1.0,False
type:TRP,0,20,720,31120,0.0,0.02313624678663239,0.0,0.0,1.0,False
flag:is_charged,20,20,31120,31120,1.0,1.0,1.0,,1.0,False
class:Aliphatic,0,20,6240,31120,0.0,0.20051413881748073,0.0,0.0,1.0,False
