group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
flag:is_polar,18,20,15162,31000,0.9,0.4890967741935484,1.8401266323703995,9.401266323703997,0.00014130802877523101,True
class:Polar_uncharged,12,20,9348,31000,0.6,0.3015483870967742,1.9897304236200257,3.474326059050064,0.005399180613151479,True
type:LYS,4,20,1136,31000,0.2,0.03664516129032258,5.45774647887324,6.572183098591549,0.0054889901470870205,True
type:SER,5,20,2755,31000,0.25,0.08887096774193548,2.813067150635209,3.417422867513612,0.027743084894017934,True
class:Basic,5,20,3175,31000,0.25,0.10241935483870968,2.440944881889764,2.921259842519685,0.04725013651183682,True
type:ASN,3,20,2637,31000,0.15,0.08506451612903226,1.763367463026166,1.8980793682660777,0.23952109895197252,False
type:GLN,2,20,1498,31000,0.1,0.04832258064516129,2.069425901201602,2.1882510013351135,0.25175556516208686,False
type:THR,2,20,2458,31000,0.1,0.07929032258064517,1.2611879576891782,1.2902088418768647,0.47846926889962593,False
type:ARG,1,20,1259,31000,0.05,0.04061290322580645,1.231135822081017,1.2433008653484385,0.5637755588106882,False
type:ASP,1,20,1499,31000,0.05,0.04835483870967742,1.0340226817878586,1.0358133492503774,0.629015326260848,False
type:ALA,1,20,1799,31000,0.05,0.05803225806451613,0.8615897720956087,0.8543050232585354,0.6975842360646438,False
type:GLY,1,20,2219,31000,0.05,0.07158064516129033,0.6985128436232537,0.6826450985507934,0.7736352764162598,False
class:Acidic,1,20,2639,31000,0.05,0.08512903225806452,0.5873436907919667,0.5656249376757544,0.8312808440147308,False
class:Special,1,20,4379,31000,0.05,0.14125806451612904,0.35396209180178123,0.3199600966334539,0.9524214738116157,False
class:Aliphatic,1,20,6539,31000,0.05,0.21093548387096775,0.23703930264566447,0.1968834764691205,0.9912364231152273,False
type:PRO,0,20,2160,31000,0.0,0.0696774193548387,0.0,0.0,1.0,False
type:PHE,0,20,1800,31000,0.0,0.05806451612903226,0.0,0.0,1.0,False
type:GLU,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:VAL,0,20,1620,31000,0.0,0.052258064516129035,0.0,0.0,1.0,False
type:TYR,0,20,1440,31000,0.0,0.04645161290322581,0.0,0.0,1.0,False
type:TRP,0,20,720,31000,0.0,0.023225806451612905,0.0,0.0,1.0,False
type:LEU,0,20,1980,31000,0.0,0.06387096774193549,0.0,0.0,1.0,False
type:CYS,0,20,300,31000,0.0,0.00967741935483871,0.0,0.0,1.0,False
type:MET,0,20,660,31000,0.0,0.02129032258064516,0.0,0.0,1.0,False
type:HIS,0,20,780,31000,0.0,0.025161290322580646,0.0,0.0,1.0,False
type:ILE,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
class:Sulfur,0,20,960,31000,0.0,0.03096774193548387,0.0,0.0,1.0,False
class:Aromatic,0,20,3960,31000,0.0,0.12774193548387097,0.0,0.0,1.0,False
flag:is_charged,20,20,31000,31000,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4740,31000,0.0,0.1529032258064516,0.0,0.0,1.0,False
