region_type,length_center_A,count
3F,2.425,0
3F,2.475,0
3F,2.525,6
3F,2.575,46
3F,2.625,221
3F,2.675,704
3F,2.725,1660
3F,2.775,3177
3F,2.825,5167
3F,2.875,7055
3F,2.925,8883
3F,2.975,9796
3F,3.025,9995
3F,3.075,10196
3F,3.125,9620
3F,3.175,8749
3F,3.225,8219
3F,3.275,7629
3F,3.325,6904
3F,3.375,6397
3F,3.425,5775
3F,3.475,5542
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,3
5F,2.525,1
5F,2.575,24
5F,2.625,105
5F,2.675,363
5F,2.725,765
5F,2.775,1414
5F,2.825,2103
5F,2.875,2789
5F,2.925,3423
5F,2.975,3673
5F,3.025,3663
5F,3.075,3679
5F,3.125,3511
5F,3.175,3185
5F,3.225,2934
5F,3.275,2627
5F,3.325,2352
5F,3.375,2205
5F,3.425,1995
5F,3.475,1820
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,3
neither,2.625,10
neither,2.675,35
neither,2.725,75
neither,2.775,135
neither,2.825,208
neither,2.875,272
neither,2.925,325
neither,2.975,369
neither,3.025,410
neither,3.075,395
neither,3.125,376
neither,3.175,369
neither,3.225,346
neither,3.275,312
neither,3.325,302
neither,3.375,286
neither,3.425,276
neither,3.475,228
neither,3.525,0
neither,3.575,0
