region_type,length_center_A,count
3F,2.425,0
3F,2.475,0
3F,2.525,2
3F,2.575,2
3F,2.625,23
3F,2.675,80
3F,2.725,193
3F,2.775,394
3F,2.825,617
3F,2.875,878
3F,2.925,1155
3F,2.975,1226
3F,3.025,1287
3F,3.075,1280
3F,3.125,1217
3F,3.175,1050
3F,3.225,1063
3F,3.275,862
3F,3.325,786
3F,3.375,756
3F,3.425,695
3F,3.475,643
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,0
5F,2.575,4
5F,2.625,11
5F,2.675,28
5F,2.725,68
5F,2.775,137
5F,2.825,206
5F,2.875,307
5F,2.925,370
5F,2.975,431
5F,3.025,452
5F,3.075,448
5F,3.125,434
5F,3.175,360
5F,3.225,338
5F,3.275,334
5F,3.325,262
5F,3.375,237
5F,3.425,240
5F,3.475,209
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,1
neither,2.625,1
neither,2.675,3
neither,2.725,2
neither,2.775,6
neither,2.825,8
neither,2.875,18
neither,2.925,17
neither,2.975,24
neither,3.025,28
neither,3.075,23
neither,3.125,16
neither,3.175,21
neither,3.225,29
neither,3.275,18
neither,3.325,21
neither,3.375,19
neither,3.425,15
neither,3.475,14
neither,3.525,0
neither,3.575,0
