r_A,water_M,sucrose_M,water_per_A3,sucrose_per_A3,n_water,n_sucrose
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.4432,0.0,0.00026689120587474857,0.0,296.0,0.0
2.75,99.108,0.0,0.05968422846944999,0.0,36673.27450980392,0.0
3.25,61.6254,0.00178,0.037111665242757684,1.0730364445968128e-06,15597.450980392157,0.45098039215686275
3.75,65.1048,0.01242,0.039206998195395054,7.477295312379261e-06,13468.529411764706,2.5686274509803924
4.25,55.1277,0.03197,0.033198690320639254,1.9254919470646257e-05,10142.156862745098,5.882352941176471
4.75,51.0002,0.04908,0.030713063146829037,2.9553938263029293e-05,8680.549019607843,8.352941176470589
5.25,51.2083,0.0575,0.030838335463371,3.462508763193091e-05,8242.745098039215,9.254901960784315
5.75,53.2014,0.05491,0.032038653803082434,3.306653543809473e-05,8245.274509803921,8.509803921568627
6.25,57.6901,0.05024,0.03474176428612173,3.0255741556258237e-05,8668.313725490196,7.549019607843137
6.75,57.5351,0.04461,0.034648475593142165,2.6863323937888663e-05,8472.254901960785,6.568627450980392
7.25,55.2556,0.02529,0.03327570274730977,1.5230503701023235e-05,7968.117647058823,3.6470588235294117
7.75,54.1887,0.01788,0.03263318937423947,1.0767384962571917e-05,7666.0,2.5294117647058822
8.25,55.0769,0.01989,0.033168087696635554,1.197990835512236e-05,7600.196078431372,2.7450980392156863
8.75,54.7776,0.02038,0.03298781986861595,1.2273966743357407e-05,7588.588235294118,2.823529411764706
9.25,55.6978,0.01989,0.03354201036722712,1.1978917400798482e-05,7576.705882352941,2.7058823529411766
9.75,55.7872,0.0256,0.033595820062304715,1.541852475375368e-05,7476.705882352941,3.4313725490196076
10.25,55.5967,0.01948,0.03348112827241834,1.1729568853043264e-05,7443.882352941177,2.607843137254902
10.75,55.2391,0.02072,0.03326578003192125,1.2475596545755792e-05,7372.0,2.764705882352941
11.25,55.3078,0.01769,0.03330711312798792,1.0654582612317199e-05,7355.490196078431,2.3529411764705883
11.75,55.6223,0.01897,0.03349653623191375,1.142556264372691e-05,7358.0392156862745,2.5098039215686274
12.25,55.7105,0.01945,0.03354962615982683,1.1710509418863949e-05,7358.901960784314,2.5686274509803924
12.75,55.8078,0.02032,0.033608216474760325,1.2235105870770996e-05,7324.980392156863,2.6666666666666665
13.25,55.7061,0.02116,0.033546996605572164,1.2742614496095226e-05,7330.156862745098,2.784313725490196
13.75,55.4705,0.01963,0.03340511222949163,1.182285276862762e-05,7312.980392156863,2.588235294117647
14.25,55.5376,0.01779,0.033445546426566615,1.0712686191905307e-05,7284.78431372549,2.3333333333333335
14.75,55.3879,0.018,0.033355394400755134,1.0840610690434085e-05,7300.078431372549,2.372549019607843
