group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
class:Polar_uncharged,11,20,9349,31000,0.55,0.3015806451612903,1.8237244625093596,2.830498805576354,0.01789360453639626,True
type:SER,5,20,2755,31000,0.25,0.08887096774193548,2.813067150635209,3.417422867513612,0.027743084894017934,True
type:GLY,4,20,2216,31000,0.2,0.07148387096774193,2.7978339350180508,3.247292418772563,0.05040238317965104,False
type:GLN,3,20,1497,31000,0.15,0.04829032258064516,3.106212424849699,3.477896970411411,0.06965375416869937,False
type:ALA,3,20,1797,31000,0.15,0.057967741935483874,2.5876460767946576,2.867818913876068,0.10655734554399544,False
flag:is_polar,13,20,15167,31000,0.65,0.489258064516129,1.3285422298411025,1.9386920852602925,0.11214184855755545,False
type:ASN,3,20,2637,31000,0.15,0.08506451612903226,1.763367463026166,1.8980793682660777,0.23952109895197252,False
class:Special,4,20,4376,31000,0.2,0.14116129032258065,1.416819012797075,1.5210237659963437,0.30981636579032007,False
type:LYS,1,20,1139,31000,0.05,0.03674193548387097,1.360842844600527,1.3798345732637125,0.5272032738687146,False
type:ARG,1,20,1259,31000,0.05,0.04061290322580645,1.231135822081017,1.2433008653484385,0.5637755588106882,False
class:Basic,2,20,3178,31000,0.1,0.10251612903225807,0.9754562617998741,0.972729179777638,0.6224990929981837,False
class:Aliphatic,3,20,6537,31000,0.15,0.21087096774193548,0.7113354749885269,0.6603946764570904,0.825372055491088,False
type:ASP,0,20,1500,31000,0.0,0.04838709677419355,0.0,0.0,1.0,False
type:GLU,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:THR,0,20,2460,31000,0.0,0.07935483870967742,0.0,0.0,1.0,False
type:LEU,0,20,1980,31000,0.0,0.06387096774193549,0.0,0.0,1.0,False
type:HIS,0,20,780,31000,0.0,0.025161290322580646,0.0,0.0,1.0,False
type:PRO,0,20,2160,31000,0.0,0.0696774193548387,0.0,0.0,1.0,False
type:VAL,0,20,1620,31000,0.0,0.052258064516129035,0.0,0.0,1.0,False
type:PHE,0,20,1800,31000,0.0,0.05806451612903226,0.0,0.0,1.0,False
type:TRP,0,20,720,31000,0.0,0.023225806451612905,0.0,0.0,1.0,False
type:CYS,0,20,300,31000,0.0,0.00967741935483871,0.0,0.0,1.0,False
type:MET,0,20,660,31000,0.0,0.02129032258064516,0.0,0.0,1.0,False
type:ILE,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:TYR,0,20,1440,31000,0.0,0.04645161290322581,0.0,0.0,1.0,False
class:Acidic,0,20,2640,31000,0.0,0.08516129032258064,0.0,0.0,1.0,False
class:Sulfur,0,20,960,31000,0.0,0.03096774193548387,0.0,0.0,1.0,False
class:Aromatic,0,20,3960,31000,0.0,0.12774193548387097,0.0,0.0,1.0,False
flag:is_charged,20,20,31000,31000,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4740,31000,0.0,0.1529032258064516,0.0,0.0,1.0,False
