r_A,water_M,sucrose_M,water_per_A3,sucrose_per_A3,n_water,n_sucrose
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.3686,0.0,0.00022200025718775444,0.0,244.07843137254903,0.0
2.75,97.5287,0.00011,0.05873313429606538,6.508940787765372e-08,35386.098039215685,0.0392156862745098
3.25,65.0669,0.00223,0.039184179140848534,1.3403206730986652e-06,16050.549019607843,0.5490196078431373
3.75,66.226,0.01573,0.03988221555079883,9.474908629091687e-06,13453.078431372549,3.196078431372549
4.25,54.2238,0.04522,0.03265431144956201,2.7235055421701566e-05,9850.450980392157,8.215686274509803
4.75,49.9375,0.05853,0.030073094500764678,3.524884701541219e-05,8397.823529411764,9.843137254901961
5.25,50.6577,0.06625,0.030506806542630605,3.9895626825968704e-05,8066.470588235294,10.549019607843137
5.75,53.2465,0.07188,0.032065764366891916,4.3288318918631165e-05,8148.235294117647,11.0
6.25,57.7272,0.05405,0.03476415340130564,3.254929308935465e-05,8586.254901960785,8.03921568627451
6.75,57.5889,0.0404,0.034680819553961614,2.4327287974103144e-05,8385.843137254902,5.882352941176471
7.25,54.5247,0.03058,0.03283553743639169,1.8413368699220228e-05,7867.254901960784,4.411764705882353
7.75,53.8228,0.02313,0.03241286418736548,1.3930838084629626e-05,7573.176470588235,3.2549019607843137
8.25,54.417,0.01935,0.0327706859921485,1.1652713402181077e-05,7499.411764705882,2.6666666666666665
8.75,55.4469,0.02217,0.03339088617254282,1.3349003848716019e-05,7553.176470588235,3.019607843137255
9.25,55.7822,0.02215,0.03359282514582623,1.3341457762533379e-05,7504.411764705882,2.980392156862745
9.75,55.1777,0.02112,0.03322880174545316,1.2715986384761191e-05,7429.549019607844,2.843137254901961
10.25,55.4738,0.02186,0.033407091381940555,1.3164409760254762e-05,7364.254901960784,2.9019607843137254
10.75,54.9954,0.01957,0.03311899592779481,1.1784006983460835e-05,7329.35294117647,2.607843137254902
11.25,54.9336,0.02113,0.033081794214543235,1.2724075011712716e-05,7290.019607843137,2.803921568627451
11.75,55.4501,0.02068,0.033392851334031456,1.2450861160400576e-05,7309.686274509804,2.7254901960784315
12.25,55.2192,0.02287,0.033253787703050146,1.377449918303761e-05,7289.803921568628,3.019607843137255
12.75,55.3525,0.02337,0.033334033806547946,1.4074525216970907e-05,7290.941176470588,3.0784313725490198
13.25,55.2951,0.02219,0.03329949381851644,1.3365005330672745e-05,7279.21568627451,2.9215686274509802
13.75,55.1151,0.02139,0.03319106092517318,1.2882297630884382e-05,7274.78431372549,2.823529411764706
14.25,55.4503,0.02002,0.03339294071003949,1.205622015725569e-05,7277.431372549019,2.627450980392157
14.75,55.0539,0.02158,0.033154246404353875,1.2996955068700758e-05,7252.6274509803925,2.843137254901961
