region_type,length_center_A,count
3F,2.425,1
3F,2.475,1
3F,2.525,10
3F,2.575,81
3F,2.625,311
3F,2.675,929
3F,2.725,2188
3F,2.775,4169
3F,2.825,6684
3F,2.875,9147
3F,2.925,11252
3F,2.975,12608
3F,3.025,13023
3F,3.075,12982
3F,3.125,12317
3F,3.175,11335
3F,3.225,10720
3F,3.275,9593
3F,3.325,8915
3F,3.375,8311
3F,3.425,7535
3F,3.475,7033
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,2
5F,2.575,29
5F,2.625,101
5F,2.675,294
5F,2.725,635
5F,2.775,1258
5F,2.825,1956
5F,2.875,2655
5F,2.925,3253
5F,2.975,3522
5F,3.025,3633
5F,3.075,3582
5F,3.125,3407
5F,3.175,3242
5F,3.225,2962
5F,3.275,2629
5F,3.325,2455
5F,3.375,2274
5F,3.425,2137
5F,3.475,1951
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,1
neither,2.575,3
neither,2.625,9
neither,2.675,21
neither,2.725,82
neither,2.775,131
neither,2.825,208
neither,2.875,307
neither,2.925,355
neither,2.975,364
neither,3.025,401
neither,3.075,438
neither,3.125,408
neither,3.175,415
neither,3.225,357
neither,3.275,347
neither,3.325,327
neither,3.375,302
neither,3.425,287
neither,3.475,264
neither,3.525,0
neither,3.575,0
