group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:ASP,9,20,1551,31120,0.45,0.049839331619537276,9.029013539651837,15.598206435730614,1.9736570302325238e-07,True
class:Acidic,9,20,2691,31120,0.45,0.08647172236503856,5.2040133779264215,8.643660687138947,1.8929274634927418e-05,True
flag:is_polar,15,20,16065,31120,0.75,0.5162275064267352,1.4528478057889822,2.811391223155929,0.02907351275228639,True
type:GLY,3,20,2217,31120,0.15,0.07124035989717224,2.1055480378890388,2.300644750457693,0.16729289004696948,False
class:Special,4,20,4196,31120,0.2,0.13483290488431876,1.4833174451858915,1.604146806482364,0.27988112841590634,False
type:ASN,2,20,2458,31120,0.1,0.07898457583547558,1.2660699755899105,1.2956333062110117,0.4763850630131659,False
type:THR,2,20,2698,31120,0.1,0.08669665809768637,1.1534469977761306,1.1704966641957004,0.5275383912768796,False
type:ALA,1,20,1379,31120,0.05,0.04431233933161954,1.1283538796229153,1.1351093469714897,0.5962026683137364,False
class:Polar_uncharged,6,20,9954,31120,0.3,0.3198586118251928,0.9379144062688366,0.9113062946697666,0.6569022213823272,False
type:GLN,1,20,1919,31120,0.05,0.06166452442159383,0.8108389786347057,0.8008831354049533,0.72006456537825,False
type:PRO,1,20,1979,31120,0.05,0.06359254498714653,0.786255684689237,0.7750059838834074,0.7313429613451435,False
type:SER,1,20,2879,31120,0.05,0.09251285347043701,0.5404654393886766,0.5162794098828175,0.8565168772977557,False
class:Aliphatic,1,20,6179,31120,0.05,0.19855398457583548,0.25182068295840754,0.21244282416674476,0.9880363676634942,False
type:ILE,0,20,1140,31120,0.0,0.036632390745501286,0.0,0.0,1.0,False
type:LEU,0,20,1920,31120,0.0,0.061696658097686374,0.0,0.0,1.0,False
type:ARG,0,20,1500,31120,0.0,0.04820051413881748,0.0,0.0,1.0,False
type:GLU,0,20,1140,31120,0.0,0.036632390745501286,0.0,0.0,1.0,False
type:VAL,0,20,1740,31120,0.0,0.055912596401028275,0.0,0.0,1.0,False
type:PHE,0,20,1620,31120,0.0,0.05205655526992288,0.0,0.0,1.0,False
type:LYS,0,20,1080,31120,0.0,0.03470437017994859,0.0,0.0,1.0,False
type:TRP,0,20,720,31120,0.0,0.02313624678663239,0.0,0.0,1.0,False
type:CYS,0,20,300,31120,0.0,0.009640102827763496,0.0,0.0,1.0,False
type:HIS,0,20,840,31120,0.0,0.02699228791773779,0.0,0.0,1.0,False
type:MET,0,20,480,31120,0.0,0.015424164524421594,0.0,0.0,1.0,False
type:TYR,0,20,1560,31120,0.0,0.05012853470437018,0.0,0.0,1.0,False
class:Basic,0,20,3420,31120,0.0,0.10989717223650386,0.0,0.0,1.0,False
class:Sulfur,0,20,780,31120,0.0,0.02506426735218509,0.0,0.0,1.0,False
class:Aromatic,0,20,3900,31120,0.0,0.12532133676092544,0.0,0.0,1.0,False
flag:is_charged,20,20,31120,31120,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4740,31120,0.0,0.15231362467866325,0.0,0.0,1.0,False
