r_center_A,na_per_frame,cl_per_frame,net_charge_per_frame,cum_counter_charge_Q_e
0.25,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0
2.25,1.72,0.0,1.72,1.72
2.75,0.4,3.4,-3.0,-1.28
3.25,0.2,74.2,-74.0,-75.28
3.75,1.3,22.92,-21.62,-96.9
4.25,3.86,26.38,-22.52,-119.42
4.75,2.62,24.04,-21.42,-140.84
5.25,1.46,20.02,-18.56,-159.4
5.75,1.62,16.52,-14.9,-174.3
6.25,1.7,17.0,-15.3,-189.60000000000002
6.75,2.4,16.76,-14.36,-203.96000000000004
7.25,2.24,15.16,-12.92,-216.88000000000002
7.75,2.2,12.74,-10.54,-227.42000000000002
8.25,2.08,11.42,-9.34,-236.76000000000002
8.75,2.36,11.1,-8.74,-245.50000000000003
9.25,2.62,12.16,-9.54,-255.04000000000002
9.75,2.28,10.92,-8.64,-263.68
10.25,2.7,10.26,-7.56,-271.24
10.75,2.52,10.18,-7.66,-278.90000000000003
11.25,2.44,10.0,-7.56,-286.46000000000004
11.75,2.98,10.7,-7.72,-294.18000000000006
12.25,2.3,9.86,-7.56,-301.74000000000007
12.75,2.94,9.0,-6.06,-307.80000000000007
13.25,2.78,9.34,-6.56,-314.36000000000007
13.75,3.22,9.3,-6.08,-320.44000000000005
14.25,3.26,9.48,-6.22,-326.6600000000001
14.75,2.94,8.74,-5.8,-332.4600000000001
15.25,3.44,9.12,-5.68,-338.1400000000001
15.75,3.8,9.48,-5.68,-343.8200000000001
16.25,4.48,9.06,-4.58,-348.4000000000001
16.75,4.52,8.7,-4.18,-352.5800000000001
17.25,4.34,8.32,-3.98,-356.5600000000001
17.75,4.42,8.5,-4.08,-360.6400000000001
18.25,4.78,8.6,-3.82,-364.4600000000001
18.75,4.4,8.88,-4.48,-368.9400000000001
19.25,4.54,9.04,-4.5,-373.4400000000001
19.75,4.42,7.48,-3.06,-376.5000000000001
