group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
class:Acidic,5,20,2635,30700,0.25,0.08583061889250815,2.9127134724857684,3.5502846299810247,0.02425461996710945,True
type:GLU,3,20,1137,30700,0.15,0.037035830618892505,4.050131926121372,4.588390501319261,0.036279438195767136,True
type:TYR,3,20,1437,30700,0.15,0.04680781758957655,3.204592901878914,3.5936387080928407,0.06464369655703422,False
type:ILE,2,20,1138,30700,0.1,0.03706840390879479,2.6977152899824253,2.886350322202695,0.1687638688852578,False
flag:is_polar,12,20,14868,30700,0.6,0.48429967426710097,1.238902340597256,1.5972558514931396,0.20877299739995456,False
type:GLN,2,20,1498,30700,0.1,0.048794788273615636,2.0493991989319094,2.1659991099243436,0.2553136816199939,False
type:ASP,2,20,1498,30700,0.1,0.048794788273615636,2.0493991989319094,2.1659991099243436,0.2553136816199939,False
class:Aromatic,3,20,3957,30700,0.15,0.12889250814332248,1.1637604245640636,1.1926593230165454,0.48614410152088344,False
type:SER,2,20,2758,30700,0.1,0.0898371335504886,1.113125453226976,1.1256949480299734,0.5474910776949871,False
type:ARG,1,20,1259,30700,0.05,0.041009771986970686,1.2192216044479747,1.230759583629447,0.567370937362834,False
class:Polar_uncharged,6,20,9354,30700,0.3,0.30469055374592835,0.9846055163566388,0.9780078805094841,0.6014986810360101,False
flag:is_aromatic,3,20,4737,30700,0.15,0.15429967426710098,0.9721342621912602,0.9672167790485415,0.6157402980943996,False
type:ALA,1,20,1799,30700,0.05,0.058599348534201956,0.8532518065591996,0.8455282174307364,0.7012043367912983,False
type:PRO,1,20,2159,30700,0.05,0.0703257328990228,0.7109773043075498,0.6957655834816313,0.7674391544558381,False
type:GLY,1,20,2219,30700,0.05,0.0722801302931596,0.6917530419107707,0.6755295178008112,0.7770211606541482,False
class:Special,2,20,4378,30700,0.1,0.1426058631921824,0.7012334399269073,0.6680371554743414,0.8005905544573756,False
type:THR,1,20,2459,30700,0.05,0.08009771986970685,0.6242374949166327,0.6044605209648766,0.8117283187497203,False
class:Aliphatic,3,20,6537,30700,0.15,0.2129315960912052,0.7044515832950895,0.6522959803471641,0.8308934017352404,False
type:ASN,1,20,2639,30700,0.05,0.08596091205211727,0.581659719590754,0.5596418100955306,0.834321866249259,False
class:Basic,1,20,2879,30700,0.05,0.0937785016286645,0.5331712400138937,0.5086013052777829,0.8604652434668706,False
type:TRP,0,20,720,30700,0.0,0.023452768729641693,0.0,0.0,1.0,False
type:MET,0,20,660,30700,0.0,0.021498371335504887,0.0,0.0,1.0,False
type:LYS,0,20,840,30700,0.0,0.02736156351791531,0.0,0.0,1.0,False
type:PHE,0,20,1800,30700,0.0,0.05863192182410423,0.0,0.0,1.0,False
type:VAL,0,20,1620,30700,0.0,0.05276872964169381,0.0,0.0,1.0,False
type:LEU,0,20,1980,30700,0.0,0.06449511400651466,0.0,0.0,1.0,False
type:HIS,0,20,780,30700,0.0,0.025407166123778503,0.0,0.0,1.0,False
type:CYS,0,20,300,30700,0.0,0.009771986970684038,0.0,0.0,1.0,False
flag:is_charged,20,20,30700,30700,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,30700,0.0,0.031270358306188926,0.0,0.0,1.0,False
