region_type,length_center_A,count
3F,2.425,0
3F,2.475,1
3F,2.525,7
3F,2.575,54
3F,2.625,251
3F,2.675,837
3F,2.725,2007
3F,2.775,3817
3F,2.825,6171
3F,2.875,8472
3F,2.925,10527
3F,2.975,11760
3F,3.025,11862
3F,3.075,12081
3F,3.125,11440
3F,3.175,10422
3F,3.225,9795
3F,3.275,9064
3F,3.325,8219
3F,3.375,7587
3F,3.425,6890
3F,3.475,6564
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,3
5F,2.525,1
5F,2.575,33
5F,2.625,132
5F,2.675,435
5F,2.725,972
5F,2.775,1775
5F,2.825,2760
5F,2.875,3683
5F,2.925,4494
5F,2.975,4949
5F,3.025,5015
5F,3.075,5063
5F,3.125,4841
5F,3.175,4483
5F,3.225,4056
5F,3.275,3732
5F,3.325,3267
5F,3.375,3024
5F,3.425,2726
5F,3.475,2529
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,6
neither,2.625,12
neither,2.675,48
neither,2.725,108
neither,2.775,167
neither,2.825,273
neither,2.875,355
neither,2.925,431
neither,2.975,467
neither,3.025,539
neither,3.075,504
neither,3.125,490
neither,3.175,510
neither,3.225,462
neither,3.275,423
neither,3.325,384
neither,3.375,365
neither,3.425,359
neither,3.475,315
neither,3.525,0
neither,3.575,0
