group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:ALA,4,20,1796,31000,0.2,0.057935483870967745,3.4521158129175946,4.065144766146993,0.025951814494128488,True
type:PHE,3,20,1797,31000,0.15,0.057967741935483874,2.5876460767946576,2.867818913876068,0.10655734554399544,False
class:Polar_uncharged,8,20,9352,31000,0.4,0.3016774193548387,1.3259195893926434,1.5431993156544055,0.23300414057294852,False
type:ASN,3,20,2637,31000,0.15,0.08506451612903226,1.763367463026166,1.8980793682660777,0.23952109895197252,False
flag:is_aromatic,4,20,4736,31000,0.2,0.1527741935483871,1.3091216216216217,1.386402027027027,0.36590792366672603,False
type:HIS,1,20,779,31000,0.05,0.025129032258064517,1.9897304236200257,2.0418214985473955,0.39919820089883723,False
type:GLY,2,20,2218,31000,0.1,0.07154838709677419,1.3976555455365196,1.441839495040577,0.4244259464027767,False
type:THR,2,20,2458,31000,0.1,0.07929032258064517,1.2611879576891782,1.2902088418768647,0.47846926889962593,False
class:Aromatic,3,20,3957,31000,0.15,0.12764516129032258,1.1751326762699015,1.2060384426704722,0.4793419907236675,False
type:SER,2,20,2758,31000,0.1,0.08896774193548387,1.1240029006526469,1.1377810007251632,0.5420196975724582,False
flag:is_polar,10,20,15170,31000,0.5,0.48935483870967744,1.021753460777851,1.043506921555702,0.5502798613219186,False
class:Special,3,20,4377,31000,0.15,0.14119354838709677,1.0623714873200822,1.0733782203765674,0.5512059977673845,False
type:ARG,1,20,1259,31000,0.05,0.04061290322580645,1.231135822081017,1.2433008653484385,0.5637755588106882,False
class:Basic,2,20,3178,31000,0.1,0.10251612903225807,0.9754562617998741,0.972729179777638,0.6224990929981837,False
type:GLN,1,20,1499,31000,0.05,0.04835483870967742,1.0340226817878586,1.0358133492503774,0.629015326260848,False
class:Aliphatic,4,20,6536,31000,0.2,0.21083870967741936,0.9485924112607099,0.9357405140758874,0.6345430576048252,False
type:PRO,1,20,2159,31000,0.05,0.06964516129032258,0.7179249652616952,0.7030789108017844,0.7640111482571185,False
type:ILE,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:LEU,0,20,1980,31000,0.0,0.06387096774193549,0.0,0.0,1.0,False
type:GLU,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:ASP,0,20,1500,31000,0.0,0.04838709677419355,0.0,0.0,1.0,False
type:VAL,0,20,1620,31000,0.0,0.052258064516129035,0.0,0.0,1.0,False
type:LYS,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:CYS,0,20,300,31000,0.0,0.00967741935483871,0.0,0.0,1.0,False
type:TYR,0,20,1440,31000,0.0,0.04645161290322581,0.0,0.0,1.0,False
type:TRP,0,20,720,31000,0.0,0.023225806451612905,0.0,0.0,1.0,False
type:MET,0,20,660,31000,0.0,0.02129032258064516,0.0,0.0,1.0,False
class:Acidic,0,20,2640,31000,0.0,0.08516129032258064,0.0,0.0,1.0,False
flag:is_charged,20,20,31000,31000,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,31000,0.0,0.03096774193548387,0.0,0.0,1.0,False
