region_type,length_center_A,count
3F,2.425,0
3F,2.475,2
3F,2.525,12
3F,2.575,74
3F,2.625,381
3F,2.675,1026
3F,2.725,2559
3F,2.775,4796
3F,2.825,7646
3F,2.875,10489
3F,2.925,12865
3F,2.975,14194
3F,3.025,14532
3F,3.075,14453
3F,3.125,13913
3F,3.175,13017
3F,3.225,12014
3F,3.275,10961
3F,3.325,9947
3F,3.375,9326
3F,3.425,8659
3F,3.475,7886
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,5
5F,2.575,31
5F,2.625,152
5F,2.675,421
5F,2.725,991
5F,2.775,1857
5F,2.825,2954
5F,2.875,4065
5F,2.925,4927
5F,2.975,5455
5F,3.025,5756
5F,3.075,5617
5F,3.125,5341
5F,3.175,4793
5F,3.225,4492
5F,3.275,4079
5F,3.325,3798
5F,3.375,3441
5F,3.425,3106
5F,3.475,2850
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,1
neither,2.575,5
neither,2.625,17
neither,2.675,50
neither,2.725,126
neither,2.775,210
neither,2.825,328
neither,2.875,459
neither,2.925,549
neither,2.975,577
neither,3.025,643
neither,3.075,564
neither,3.125,601
neither,3.175,557
neither,3.225,498
neither,3.275,445
neither,3.325,433
neither,3.375,377
neither,3.425,370
neither,3.475,326
neither,3.525,0
neither,3.575,0
