region_type,length_center_A,count
3F,2.425,0
3F,2.475,1
3F,2.525,3
3F,2.575,46
3F,2.625,188
3F,2.675,569
3F,2.725,1285
3F,2.775,2447
3F,2.825,3982
3F,2.875,5320
3F,2.925,6661
3F,2.975,7368
3F,3.025,7653
3F,3.075,7568
3F,3.125,7248
3F,3.175,6778
3F,3.225,6375
3F,3.275,5773
3F,3.325,5207
3F,3.375,4958
3F,3.425,4605
3F,3.475,4173
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,1
5F,2.525,3
5F,2.575,18
5F,2.625,66
5F,2.675,179
5F,2.725,436
5F,2.775,763
5F,2.825,1219
5F,2.875,1702
5F,2.925,2171
5F,2.975,2396
5F,3.025,2532
5F,3.075,2546
5F,3.125,2438
5F,3.175,2255
5F,3.225,2111
5F,3.275,1956
5F,3.325,1811
5F,3.375,1645
5F,3.425,1583
5F,3.475,1411
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,1
neither,2.575,1
neither,2.625,11
neither,2.675,20
neither,2.725,49
neither,2.775,107
neither,2.825,167
neither,2.875,229
neither,2.925,318
neither,2.975,373
neither,3.025,394
neither,3.075,401
neither,3.125,404
neither,3.175,383
neither,3.225,390
neither,3.275,345
neither,3.325,302
neither,3.375,287
neither,3.425,237
neither,3.475,255
neither,3.525,0
neither,3.575,0
