group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
class:Polar_uncharged,13,20,9347,30700,0.65,0.3044625407166124,2.134909596662031,4.242598847605802,0.0014956277551508002,True
type:GLN,5,20,1495,30700,0.25,0.04869706840390879,5.133779264214047,6.511705685618729,0.0023102522572513956,True
flag:is_polar,14,20,14866,30700,0.7,0.4842345276872964,1.4455805193057985,2.485268397685995,0.043125504853446836,True
type:SER,4,20,2756,30700,0.2,0.08977198697068405,2.227866473149492,2.534833091436865,0.09877881880842068,False
type:GLY,3,20,2217,30700,0.15,0.07221498371335505,2.0771312584573747,2.2672132452439704,0.17213435775372335,False
type:ALA,2,20,1798,30700,0.1,0.05856677524429967,1.7074527252502782,1.78605858361142,0.3290150050895139,False
type:LYS,1,20,839,30700,0.05,0.02732899022801303,1.829558998808105,1.8732199987453735,0.42573533927176965,False
type:THR,2,20,2458,30700,0.1,0.08006514657980456,1.2489829129373475,1.276647681041497,0.4837311969228103,False
type:ASN,2,20,2638,30700,0.1,0.08592833876221498,1.1637604245640638,1.181956027293404,0.5225793958441013,False
class:Special,3,20,4377,30700,0.15,0.14257328990228013,1.052090472926662,1.0612829093254847,0.5582502164737858,False
type:PHE,1,20,1799,30700,0.05,0.058599348534201956,0.8532518065591996,0.8455282174307364,0.7012043367912983,False
class:Basic,1,20,2879,30700,0.05,0.0937785016286645,0.5331712400138937,0.5086013052777829,0.8604652434668706,False
class:Aromatic,1,20,3959,30700,0.05,0.12895765472312704,0.38772417277090176,0.35549912923252813,0.9367733336067527,False
class:Aliphatic,2,20,6538,30700,0.1,0.2129641693811075,0.46956255735698993,0.4106250637299888,0.9466563959141349,False
flag:is_aromatic,1,20,4739,30700,0.05,0.15436482084690553,0.32390799746782023,0.2883242078608634,0.9650160846376535,False
type:ARG,0,20,1260,30700,0.0,0.04104234527687296,0.0,0.0,1.0,False
type:ILE,0,20,1140,30700,0.0,0.03713355048859935,0.0,0.0,1.0,False
type:LEU,0,20,1980,30700,0.0,0.06449511400651466,0.0,0.0,1.0,False
type:VAL,0,20,1620,30700,0.0,0.05276872964169381,0.0,0.0,1.0,False
type:TYR,0,20,1440,30700,0.0,0.046905537459283386,0.0,0.0,1.0,False
type:TRP,0,20,720,30700,0.0,0.023452768729641693,0.0,0.0,1.0,False
type:ASP,0,20,1500,30700,0.0,0.048859934853420196,0.0,0.0,1.0,False
type:HIS,0,20,780,30700,0.0,0.025407166123778503,0.0,0.0,1.0,False
type:CYS,0,20,300,30700,0.0,0.009771986970684038,0.0,0.0,1.0,False
type:GLU,0,20,1140,30700,0.0,0.03713355048859935,0.0,0.0,1.0,False
type:PRO,0,20,2160,30700,0.0,0.07035830618892508,0.0,0.0,1.0,False
type:MET,0,20,660,30700,0.0,0.021498371335504887,0.0,0.0,1.0,False
class:Acidic,0,20,2640,30700,0.0,0.08599348534201955,0.0,0.0,1.0,False
flag:is_charged,20,20,30700,30700,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,30700,0.0,0.031270358306188926,0.0,0.0,1.0,False
