region_type,length_center_A,count
3F,2.425,0
3F,2.475,1
3F,2.525,11
3F,2.575,85
3F,2.625,387
3F,2.675,1057
3F,2.725,2421
3F,2.775,4588
3F,2.825,7399
3F,2.875,10155
3F,2.925,12148
3F,2.975,13611
3F,3.025,14197
3F,3.075,13940
3F,3.125,13602
3F,3.175,12622
3F,3.225,11583
3F,3.275,10772
3F,3.325,9859
3F,3.375,9188
3F,3.425,8363
3F,3.475,7695
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,5
5F,2.575,26
5F,2.625,89
5F,2.675,285
5F,2.725,638
5F,2.775,1202
5F,2.825,1942
5F,2.875,2588
5F,2.925,3047
5F,2.975,3340
5F,3.025,3535
5F,3.075,3457
5F,3.125,3236
5F,3.175,3216
5F,3.225,2757
5F,3.275,2503
5F,3.325,2413
5F,3.375,2194
5F,3.425,1943
5F,3.475,1919
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,1
neither,2.625,15
neither,2.675,28
neither,2.725,90
neither,2.775,202
neither,2.825,304
neither,2.875,382
neither,2.925,526
neither,2.975,549
neither,3.025,629
neither,3.075,614
neither,3.125,534
neither,3.175,549
neither,3.225,498
neither,3.275,466
neither,3.325,422
neither,3.375,389
neither,3.425,350
neither,3.475,359
neither,3.525,0
neither,3.575,0
