region_type,length_center_A,count
3F,2.425,0
3F,2.475,0
3F,2.525,2
3F,2.575,10
3F,2.625,43
3F,2.675,111
3F,2.725,261
3F,2.775,535
3F,2.825,888
3F,2.875,1155
3F,2.925,1451
3F,2.975,1650
3F,3.025,1705
3F,3.075,1578
3F,3.125,1621
3F,3.175,1403
3F,3.225,1347
3F,3.275,1239
3F,3.325,1092
3F,3.375,1043
3F,3.425,911
3F,3.475,799
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,0
5F,2.575,4
5F,2.625,9
5F,2.675,41
5F,2.725,68
5F,2.775,176
5F,2.825,251
5F,2.875,322
5F,2.925,417
5F,2.975,464
5F,3.025,454
5F,3.075,430
5F,3.125,389
5F,3.175,363
5F,3.225,354
5F,3.275,349
5F,3.325,285
5F,3.375,237
5F,3.425,233
5F,3.475,209
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,2
neither,2.625,3
neither,2.675,7
neither,2.725,5
neither,2.775,16
neither,2.825,34
neither,2.875,37
neither,2.925,47
neither,2.975,35
neither,3.025,55
neither,3.075,55
neither,3.125,44
neither,3.175,52
neither,3.225,46
neither,3.275,40
neither,3.325,54
neither,3.375,28
neither,3.425,36
neither,3.475,35
neither,3.525,0
neither,3.575,0
