region_type,length_center_A,count
3F,2.425,1
3F,2.475,1
3F,2.525,9
3F,2.575,51
3F,2.625,219
3F,2.675,737
3F,2.725,1815
3F,2.775,3398
3F,2.825,5410
3F,2.875,7473
3F,2.925,9022
3F,2.975,10059
3F,3.025,10420
3F,3.075,10555
3F,3.125,9909
3F,3.175,9234
3F,3.225,8415
3F,3.275,7879
3F,3.325,7166
3F,3.375,6678
3F,3.425,6107
3F,3.475,5632
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,0
5F,2.575,25
5F,2.625,73
5F,2.675,243
5F,2.725,546
5F,2.775,1000
5F,2.825,1545
5F,2.875,2036
5F,2.925,2340
5F,2.975,2733
5F,3.025,2748
5F,3.075,2818
5F,3.125,2523
5F,3.175,2450
5F,3.225,2149
5F,3.275,2142
5F,3.325,1898
5F,3.375,1597
5F,3.425,1572
5F,3.475,1437
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,5
neither,2.625,4
neither,2.675,24
neither,2.725,59
neither,2.775,98
neither,2.825,164
neither,2.875,202
neither,2.925,267
neither,2.975,255
neither,3.025,301
neither,3.075,329
neither,3.125,269
neither,3.175,304
neither,3.225,266
neither,3.275,228
neither,3.325,210
neither,3.375,202
neither,3.425,216
neither,3.475,204
neither,3.525,0
neither,3.575,0
