region_type,length_center_A,count
3F,2.425,0
3F,2.475,0
3F,2.525,2
3F,2.575,10
3F,2.625,34
3F,2.675,89
3F,2.725,275
3F,2.775,471
3F,2.825,832
3F,2.875,1083
3F,2.925,1355
3F,2.975,1467
3F,3.025,1567
3F,3.075,1569
3F,3.125,1456
3F,3.175,1400
3F,3.225,1182
3F,3.275,1086
3F,3.325,1027
3F,3.375,926
3F,3.425,861
3F,3.475,794
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,0
5F,2.575,2
5F,2.625,11
5F,2.675,26
5F,2.725,72
5F,2.775,151
5F,2.825,218
5F,2.875,302
5F,2.925,365
5F,2.975,389
5F,3.025,414
5F,3.075,461
5F,3.125,398
5F,3.175,399
5F,3.225,365
5F,3.275,345
5F,3.325,322
5F,3.375,274
5F,3.425,275
5F,3.475,239
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,0
neither,2.625,1
neither,2.675,2
neither,2.725,2
neither,2.775,6
neither,2.825,4
neither,2.875,13
neither,2.925,12
neither,2.975,17
neither,3.025,21
neither,3.075,16
neither,3.125,17
neither,3.175,18
neither,3.225,13
neither,3.275,14
neither,3.325,15
neither,3.375,13
neither,3.425,13
neither,3.475,13
neither,3.525,0
neither,3.575,0
