region_type,length_center_A,count
3F,2.425,0
3F,2.475,0
3F,2.525,2
3F,2.575,3
3F,2.625,30
3F,2.675,126
3F,2.725,276
3F,2.775,552
3F,2.825,884
3F,2.875,1225
3F,2.925,1615
3F,2.975,1739
3F,3.025,1789
3F,3.075,1748
3F,3.125,1675
3F,3.175,1484
3F,3.225,1450
3F,3.275,1197
3F,3.325,1114
3F,3.375,1015
3F,3.425,961
3F,3.475,861
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,1
5F,2.575,5
5F,2.625,12
5F,2.675,35
5F,2.725,87
5F,2.775,176
5F,2.825,277
5F,2.875,412
5F,2.925,479
5F,2.975,572
5F,3.025,620
5F,3.075,625
5F,3.125,579
5F,3.175,493
5F,3.225,457
5F,3.275,431
5F,3.325,373
5F,3.375,329
5F,3.425,323
5F,3.475,272
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,1
neither,2.625,1
neither,2.675,3
neither,2.725,2
neither,2.775,6
neither,2.825,8
neither,2.875,18
neither,2.925,18
neither,2.975,25
neither,3.025,30
neither,3.075,24
neither,3.125,16
neither,3.175,23
neither,3.225,30
neither,3.275,18
neither,3.325,21
neither,3.375,20
neither,3.425,16
neither,3.475,15
neither,3.525,0
neither,3.575,0
