region_type,length_center_A,count
3F,2.425,0
3F,2.475,1
3F,2.525,3
3F,2.575,38
3F,2.625,155
3F,2.675,466
3F,2.725,1023
3F,2.775,1970
3F,2.825,3173
3F,2.875,4283
3F,2.925,5267
3F,2.975,5806
3F,3.025,6140
3F,3.075,6043
3F,3.125,5852
3F,3.175,5481
3F,3.225,5127
3F,3.275,4667
3F,3.325,4161
3F,3.375,3937
3F,3.425,3716
3F,3.475,3321
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,2
5F,2.575,14
5F,2.625,45
5F,2.675,115
5F,2.725,312
5F,2.775,492
5F,2.825,764
5F,2.875,1042
5F,2.925,1324
5F,2.975,1458
5F,3.025,1519
5F,3.075,1559
5F,3.125,1456
5F,3.175,1393
5F,3.225,1346
5F,3.275,1222
5F,3.325,1132
5F,3.375,1039
5F,3.425,1000
5F,3.475,858
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,0
neither,2.625,7
neither,2.675,14
neither,2.725,38
neither,2.775,88
neither,2.825,116
neither,2.875,176
neither,2.925,228
neither,2.975,268
neither,3.025,275
neither,3.075,292
neither,3.125,294
neither,3.175,274
neither,3.225,294
neither,3.275,245
neither,3.325,211
neither,3.375,207
neither,3.425,180
neither,3.475,181
neither,3.525,0
neither,3.575,0
