group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
class:Polar_uncharged,12,20,9348,31000,0.6,0.3015483870967742,1.9897304236200257,3.474326059050064,0.005399180613151479,True
flag:is_polar,15,20,15165,31000,0.75,0.4891935483870968,1.533135509396637,3.132542037586548,0.016378419946019247,True
type:SER,5,20,2755,31000,0.25,0.08887096774193548,2.813067150635209,3.417422867513612,0.027743084894017934,True
type:ASN,4,20,2636,31000,0.2,0.08503225806451613,2.3520485584218513,2.690060698027314,0.08457637367707603,False
type:ARG,2,20,1258,31000,0.1,0.04058064516129032,2.46422893481717,2.6269210386857447,0.1941559791741383,False
type:ALA,2,20,1798,31000,0.1,0.058,1.7241379310344829,1.8045977011494252,0.3247556513698449,False
class:Basic,3,20,3177,31000,0.15,0.10248387096774193,1.4636449480642115,1.5454646447814253,0.3374268488986238,False
type:LEU,2,20,1978,31000,0.1,0.06380645161290323,1.5672396359959555,1.6302662622177284,0.36808365023427814,False
type:THR,2,20,2458,31000,0.1,0.07929032258064517,1.2611879576891782,1.2902088418768647,0.47846926889962593,False
type:LYS,1,20,1139,31000,0.05,0.03674193548387097,1.360842844600527,1.3798345732637125,0.5272032738687146,False
type:GLN,1,20,1499,31000,0.05,0.04835483870967742,1.0340226817878586,1.0358133492503774,0.629015326260848,False
class:Aliphatic,4,20,6536,31000,0.2,0.21083870967741936,0.9485924112607099,0.9357405140758874,0.6345430576048252,False
type:PHE,1,20,1799,31000,0.05,0.05803225806451613,0.8615897720956087,0.8543050232585354,0.6975842360646438,False
class:Aromatic,1,20,3959,31000,0.05,0.12770967741935485,0.39151300833543823,0.35948737719519813,0.9349375340995081,False
flag:is_aromatic,1,20,4739,31000,0.05,0.15287096774193548,0.32707322219877616,0.29165602336713276,0.9637597369622026,False
type:TYR,0,20,1440,31000,0.0,0.04645161290322581,0.0,0.0,1.0,False
type:HIS,0,20,780,31000,0.0,0.025161290322580646,0.0,0.0,1.0,False
type:MET,0,20,660,31000,0.0,0.02129032258064516,0.0,0.0,1.0,False
type:ILE,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:GLY,0,20,2220,31000,0.0,0.07161290322580645,0.0,0.0,1.0,False
type:PRO,0,20,2160,31000,0.0,0.0696774193548387,0.0,0.0,1.0,False
type:ASP,0,20,1500,31000,0.0,0.04838709677419355,0.0,0.0,1.0,False
type:CYS,0,20,300,31000,0.0,0.00967741935483871,0.0,0.0,1.0,False
type:GLU,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:TRP,0,20,720,31000,0.0,0.023225806451612905,0.0,0.0,1.0,False
type:VAL,0,20,1620,31000,0.0,0.052258064516129035,0.0,0.0,1.0,False
class:Acidic,0,20,2640,31000,0.0,0.08516129032258064,0.0,0.0,1.0,False
class:Special,0,20,4380,31000,0.0,0.14129032258064517,0.0,0.0,1.0,False
flag:is_charged,20,20,31000,31000,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,31000,0.0,0.03096774193548387,0.0,0.0,1.0,False
