group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:SER,5,20,2755,31000,0.25,0.08887096774193548,2.813067150635209,3.417422867513612,0.027743084894017934,True
class:Polar_uncharged,10,20,9350,31000,0.5,0.3016129032258065,1.6577540106951871,2.3155080213903743,0.04971910716724016,True
type:ASN,4,20,2636,31000,0.2,0.08503225806451613,2.3520485584218513,2.690060698027314,0.08457637367707603,False
type:ALA,3,20,1797,31000,0.15,0.057967741935483874,2.5876460767946576,2.867818913876068,0.10655734554399544,False
flag:is_polar,13,20,15167,31000,0.65,0.489258064516129,1.3285422298411025,1.9386920852602925,0.11214184855755545,False
class:Acidic,3,20,2637,31000,0.15,0.08506451612903226,1.763367463026166,1.8980793682660777,0.23952109895197252,False
type:ASP,2,20,1498,31000,0.1,0.04832258064516129,2.069425901201602,2.1882510013351135,0.25175556516208686,False
type:LEU,2,20,1978,31000,0.1,0.06380645161290323,1.5672396359959555,1.6302662622177284,0.36808365023427814,False
class:Aliphatic,5,20,6535,31000,0.25,0.21080645161290323,1.185921958684009,1.2478959449120122,0.4178303807520769,False
type:GLU,1,20,1139,31000,0.05,0.03674193548387097,1.360842844600527,1.3798345732637125,0.5272032738687146,False
type:TYR,1,20,1439,31000,0.05,0.046419354838709674,1.0771369006254345,1.0811967375004572,0.6136348281793017,False
type:PRO,1,20,2159,31000,0.05,0.06964516129032258,0.7179249652616952,0.7030789108017844,0.7640111482571185,False
type:THR,1,20,2459,31000,0.05,0.07932258064516129,0.6303375355835706,0.6108816164037585,0.8085307804590143,False
class:Aromatic,1,20,3959,31000,0.05,0.12770967741935485,0.39151300833543823,0.35948737719519813,0.9349375340995081,False
class:Special,1,20,4379,31000,0.05,0.14125806451612904,0.35396209180178123,0.3199600966334539,0.9524214738116157,False
flag:is_aromatic,1,20,4739,31000,0.05,0.15287096774193548,0.32707322219877616,0.29165602336713276,0.9637597369622026,False
type:LYS,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:ILE,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:GLN,0,20,1500,31000,0.0,0.04838709677419355,0.0,0.0,1.0,False
type:PHE,0,20,1800,31000,0.0,0.05806451612903226,0.0,0.0,1.0,False
type:MET,0,20,660,31000,0.0,0.02129032258064516,0.0,0.0,1.0,False
type:ARG,0,20,1260,31000,0.0,0.04064516129032258,0.0,0.0,1.0,False
type:GLY,0,20,2220,31000,0.0,0.07161290322580645,0.0,0.0,1.0,False
type:CYS,0,20,300,31000,0.0,0.00967741935483871,0.0,0.0,1.0,False
type:HIS,0,20,780,31000,0.0,0.025161290322580646,0.0,0.0,1.0,False
type:VAL,0,20,1620,31000,0.0,0.052258064516129035,0.0,0.0,1.0,False
type:TRP,0,20,720,31000,0.0,0.023225806451612905,0.0,0.0,1.0,False
class:Basic,0,20,3180,31000,0.0,0.10258064516129033,0.0,0.0,1.0,False
flag:is_charged,20,20,31000,31000,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,31000,0.0,0.03096774193548387,0.0,0.0,1.0,False
