region_type,length_center_A,count
3F,2.425,1
3F,2.475,1
3F,2.525,14
3F,2.575,90
3F,2.625,367
3F,2.675,1103
3F,2.725,2619
3F,2.775,5024
3F,2.825,8078
3F,2.875,11118
3F,2.925,13596
3F,2.975,15212
3F,3.025,15718
3F,3.075,15562
3F,3.125,14780
3F,3.175,13603
3F,3.225,12735
3F,3.275,11428
3F,3.325,10633
3F,3.375,9851
3F,3.425,8900
3F,3.475,8361
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,2
5F,2.575,34
5F,2.625,129
5F,2.675,379
5F,2.725,838
5F,2.775,1686
5F,2.825,2646
5F,2.875,3615
5F,2.925,4467
5F,2.975,4823
5F,3.025,5010
5F,3.075,5000
5F,3.125,4848
5F,3.175,4577
5F,3.225,4199
5F,3.275,3704
5F,3.325,3459
5F,3.375,3219
5F,3.425,3028
5F,3.475,2743
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,1
neither,2.575,3
neither,2.625,10
neither,2.675,24
neither,2.725,92
neither,2.775,152
neither,2.825,249
neither,2.875,351
neither,2.925,418
neither,2.975,434
neither,3.025,478
neither,3.075,520
neither,3.125,490
neither,3.175,485
neither,3.225,420
neither,3.275,403
neither,3.325,368
neither,3.375,357
neither,3.425,347
neither,3.475,309
neither,3.525,0
neither,3.575,0
