region_type,length_center_A,count
3F,2.425,1
3F,2.475,1
3F,2.525,12
3F,2.575,85
3F,2.625,354
3F,2.675,1060
3F,2.725,2562
3F,2.775,4976
3F,2.825,7831
3F,2.875,10738
3F,2.925,13359
3F,2.975,14657
3F,3.025,15007
3F,3.075,15032
3F,3.125,14256
3F,3.175,13481
3F,3.225,12210
3F,3.275,11074
3F,3.325,10287
3F,3.375,9401
3F,3.425,8712
3F,3.475,8155
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,6
5F,2.575,22
5F,2.625,127
5F,2.675,399
5F,2.725,967
5F,2.775,1765
5F,2.825,2790
5F,2.875,3917
5F,2.925,4613
5F,2.975,5360
5F,3.025,5667
5F,3.075,5512
5F,3.125,5306
5F,3.175,4849
5F,3.225,4583
5F,3.275,4211
5F,3.325,3744
5F,3.375,3393
5F,3.425,3154
5F,3.475,2959
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,1
neither,2.575,2
neither,2.625,23
neither,2.675,59
neither,2.725,128
neither,2.775,233
neither,2.825,417
neither,2.875,549
neither,2.925,709
neither,2.975,814
neither,3.025,952
neither,3.075,953
neither,3.125,923
neither,3.175,797
neither,3.225,855
neither,3.275,719
neither,3.325,655
neither,3.375,604
neither,3.425,525
neither,3.475,521
neither,3.525,0
neither,3.575,0
