group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:SER,9,20,2751,30700,0.45,0.08960912052117263,5.021810250817885,8.312382274214336,2.5220409114849155e-05,True
class:Polar_uncharged,12,20,9348,30700,0.6,0.30449511400651463,1.970474967907574,3.4261874197689344,0.005891213478926993,True
flag:is_polar,14,20,14866,30700,0.7,0.4842345276872964,1.4455805193057985,2.485268397685995,0.043125504853446836,True
type:GLY,4,20,2216,30700,0.2,0.07218241042345278,2.770758122743682,3.213447653429603,0.05192760244131872,False
class:Special,4,20,4376,30700,0.2,0.14254071661237785,1.4031078610603291,1.5038848263254114,0.31641623105597905,False
type:TRP,1,20,719,30700,0.05,0.023420195439739413,2.134909596662031,2.1946416806968743,0.37779087781380555,False
type:LYS,1,20,839,30700,0.05,0.02732899022801303,1.829558998808105,1.8732199987453735,0.42573533927176965,False
type:ASN,2,20,2638,30700,0.1,0.08592833876221498,1.1637604245640638,1.181956027293404,0.5225793958441013,False
type:GLU,1,20,1139,30700,0.05,0.037100977198697066,1.347673397717296,1.3659719975971536,0.5307161576004487,False
type:GLN,1,20,1499,30700,0.05,0.04882736156351791,1.0240160106737826,1.0252800112355605,0.632682130656331,False
type:ALA,1,20,1799,30700,0.05,0.058599348534201956,0.8532518065591996,0.8455282174307364,0.7012043367912983,False
class:Acidic,1,20,2639,30700,0.05,0.08596091205211727,0.581659719590754,0.5596418100955306,0.834321866249259,False
class:Basic,1,20,2879,30700,0.05,0.0937785016286645,0.5331712400138937,0.5086013052777829,0.8604652434668706,False
class:Aromatic,1,20,3959,30700,0.05,0.12895765472312704,0.38772417277090176,0.35549912923252813,0.9367733336067527,False
flag:is_aromatic,1,20,4739,30700,0.05,0.15436482084690553,0.32390799746782023,0.2883242078608634,0.9650160846376535,False
class:Aliphatic,1,20,6539,30700,0.05,0.21299674267100976,0.23474537391038386,0.1944688146425093,0.9916828439522294,False
type:PHE,0,20,1800,30700,0.0,0.05863192182410423,0.0,0.0,1.0,False
type:TYR,0,20,1440,30700,0.0,0.046905537459283386,0.0,0.0,1.0,False
type:ILE,0,20,1140,30700,0.0,0.03713355048859935,0.0,0.0,1.0,False
type:PRO,0,20,2160,30700,0.0,0.07035830618892508,0.0,0.0,1.0,False
type:ARG,0,20,1260,30700,0.0,0.04104234527687296,0.0,0.0,1.0,False
type:ASP,0,20,1500,30700,0.0,0.048859934853420196,0.0,0.0,1.0,False
type:VAL,0,20,1620,30700,0.0,0.05276872964169381,0.0,0.0,1.0,False
type:THR,0,20,2460,30700,0.0,0.08013029315960912,0.0,0.0,1.0,False
type:LEU,0,20,1980,30700,0.0,0.06449511400651466,0.0,0.0,1.0,False
type:HIS,0,20,780,30700,0.0,0.025407166123778503,0.0,0.0,1.0,False
type:MET,0,20,660,30700,0.0,0.021498371335504887,0.0,0.0,1.0,False
type:CYS,0,20,300,30700,0.0,0.009771986970684038,0.0,0.0,1.0,False
flag:is_charged,20,20,30700,30700,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,30700,0.0,0.031270358306188926,0.0,0.0,1.0,False
