region_type,length_center_A,count
3F,2.425,0
3F,2.475,1
3F,2.525,14
3F,2.575,102
3F,2.625,454
3F,2.675,1312
3F,2.725,2974
3F,2.775,5751
3F,2.825,9197
3F,2.875,12723
3F,2.925,15288
3F,2.975,17169
3F,3.025,17768
3F,3.075,17487
3F,3.125,16854
3F,3.175,15712
3F,3.225,14385
3F,3.275,13218
3F,3.325,12241
3F,3.375,11326
3F,3.425,10393
3F,3.475,9428
3F,3.525,0
3F,3.575,0
5F,2.425,0
5F,2.475,0
5F,2.525,5
5F,2.575,34
5F,2.625,124
5F,2.675,406
5F,2.725,874
5F,2.775,1720
5F,2.825,2803
5F,2.875,3767
5F,2.925,4532
5F,2.975,5120
5F,3.025,5326
5F,3.075,5301
5F,3.125,4942
5F,3.175,4859
5F,3.225,4334
5F,3.275,3843
5F,3.325,3727
5F,3.375,3324
5F,3.425,2981
5F,3.475,2929
5F,3.525,0
5F,3.575,0
neither,2.425,0
neither,2.475,0
neither,2.525,0
neither,2.575,1
neither,2.625,16
neither,2.675,30
neither,2.725,111
neither,2.775,247
neither,2.825,407
neither,2.875,519
neither,2.925,702
neither,2.975,749
neither,3.025,858
neither,3.075,855
neither,3.125,710
neither,3.175,703
neither,3.225,668
neither,3.275,620
neither,3.325,554
neither,3.375,509
neither,3.425,463
neither,3.475,473
neither,3.525,0
neither,3.575,0
