group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:GLN,5,20,1495,30850,0.25,0.04846029173419773,5.15886287625418,6.545150501672241,0.0022614948084153925,True
flag:is_polar,15,20,15015,30850,0.75,0.486709886547812,1.540959040959041,3.1638361638361636,0.015495285130582948,True
class:Polar_uncharged,11,20,9349,30850,0.55,0.30304700162074555,1.814899989303669,2.810888865119264,0.01857148630032476,True
type:ARG,3,20,1257,30850,0.15,0.04074554294975689,3.6813842482100236,4.154569703776499,0.04606810272895292,True
class:Basic,4,20,3026,30850,0.2,0.09808752025931929,2.038995373430271,2.298744216787839,0.1263333393459592,False
type:ASN,3,20,2637,30850,0.15,0.08547811993517018,1.7548350398179748,1.8880412233152646,0.2417820680529154,False
type:ALA,2,20,1798,30850,0.1,0.058282009724473255,1.7157953281423806,1.7953281423804226,0.3268755698947731,False
type:GLY,2,20,2218,30850,0.1,0.07189627228525121,1.390892696122633,1.4343252179140367,0.426909178974394,False
type:LYS,1,20,989,30850,0.05,0.03205834683954619,1.5596562184024267,1.5891118088446596,0.47905644240529155,False
type:SER,2,20,2758,30850,0.1,0.08940032414910859,1.1185641769398116,1.1317379743775682,0.5447471940254479,False
type:PHE,1,20,1799,30850,0.05,0.058314424635332256,0.8574207893274041,0.8499166203446359,0.699390665493429,False
class:Special,2,20,4378,30850,0.1,0.14191247974068072,0.7046596619460941,0.6718440688289935,0.7982240945729058,False
type:THR,1,20,2459,30850,0.05,0.07970826580226904,0.6272875152501017,0.6076710686843175,0.8101281732139513,False
class:Aromatic,1,20,3959,30850,0.05,0.12833063209076176,0.38961859055317,0.35749325321386316,0.9358572117653184,False
class:Aliphatic,2,20,6538,30850,0.1,0.21192868719611022,0.4718568369531967,0.41317426328132967,0.9455208273944967,False
flag:is_aromatic,1,20,4739,30850,0.05,0.15361426256077795,0.3254906098332982,0.28999011561399807,0.9643901212079635,False
type:PRO,0,20,2160,30850,0.0,0.0700162074554295,0.0,0.0,1.0,False
type:HIS,0,20,780,30850,0.0,0.025283630470016208,0.0,0.0,1.0,False
type:VAL,0,20,1620,30850,0.0,0.05251215559157212,0.0,0.0,1.0,False
type:TYR,0,20,1440,30850,0.0,0.046677471636952995,0.0,0.0,1.0,False
type:LEU,0,20,1980,30850,0.0,0.06418152350081037,0.0,0.0,1.0,False
type:ASP,0,20,1500,30850,0.0,0.04862236628849271,0.0,0.0,1.0,False
type:TRP,0,20,720,30850,0.0,0.023338735818476498,0.0,0.0,1.0,False
type:CYS,0,20,300,30850,0.0,0.009724473257698542,0.0,0.0,1.0,False
type:GLU,0,20,1140,30850,0.0,0.036952998379254455,0.0,0.0,1.0,False
type:ILE,0,20,1140,30850,0.0,0.036952998379254455,0.0,0.0,1.0,False
type:MET,0,20,660,30850,0.0,0.02139384116693679,0.0,0.0,1.0,False
class:Acidic,0,20,2640,30850,0.0,0.08557536466774716,0.0,0.0,1.0,False
flag:is_charged,20,20,30850,30850,1.0,1.0,1.0,,1.0,False
class:Sulfur,0,20,960,30850,0.0,0.03111831442463533,0.0,0.0,1.0,False
