group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
flag:is_polar,19,20,15581,31060,0.95,0.50164198325821,1.893780886977729,18.875617739554585,2.1368075948708063e-05,True
type:ASN,8,20,2812,31060,0.4,0.09053444945267225,4.418207681365576,6.69701280227596,0.0002109725534868795,True
type:GLU,5,20,1135,31060,0.25,0.036542176432710884,6.841409691629956,8.788546255506608,0.0006438851108928343,True
class:Polar_uncharged,14,20,10246,31060,0.7,0.3298776561493883,2.1219988288112432,4.739996096037478,0.0007842492171973248,True
type:THR,6,20,2994,31060,0.3,0.09639407598197038,3.1122244488977957,4.017463498425422,0.009488590712164255,True
class:Acidic,5,20,2395,31060,0.25,0.07710882163554411,3.242171189979123,3.989561586638831,0.015900380532152376,True
type:GLY,1,20,2459,31060,0.05,0.07916934964584675,0.6315575437169582,0.6121658354915348,0.8078926050896389,False
class:Special,1,20,4499,31060,0.05,0.1448486799742434,0.3451878195154479,0.3107240205425767,0.9562448032212014,False
type:MET,0,20,480,31060,0.0,0.015453960077269801,0.0,0.0,1.0,False
type:ILE,0,20,1320,31060,0.0,0.04249839021249195,0.0,0.0,1.0,False
type:ARG,0,20,1260,31060,0.0,0.04056664520283323,0.0,0.0,1.0,False
type:LEU,0,20,2100,31060,0.0,0.06761107533805538,0.0,0.0,1.0,False
type:LYS,0,20,960,31060,0.0,0.030907920154539602,0.0,0.0,1.0,False
type:GLN,0,20,2040,31060,0.0,0.06567933032839665,0.0,0.0,1.0,False
type:TYR,0,20,1620,31060,0.0,0.05215711526078558,0.0,0.0,1.0,False
type:VAL,0,20,1320,31060,0.0,0.04249839021249195,0.0,0.0,1.0,False
type:SER,0,20,2400,31060,0.0,0.07726980038634901,0.0,0.0,1.0,False
type:ALA,0,20,1500,31060,0.0,0.04829362524146812,0.0,0.0,1.0,False
type:PRO,0,20,2040,31060,0.0,0.06567933032839665,0.0,0.0,1.0,False
type:PHE,0,20,1620,31060,0.0,0.05215711526078558,0.0,0.0,1.0,False
type:TRP,0,20,720,31060,0.0,0.0231809401159047,0.0,0.0,1.0,False
type:CYS,0,20,300,31060,0.0,0.009658725048293626,0.0,0.0,1.0,False
type:HIS,0,20,720,31060,0.0,0.0231809401159047,0.0,0.0,1.0,False
type:ASP,0,20,1260,31060,0.0,0.04056664520283323,0.0,0.0,1.0,False
class:Basic,0,20,2940,31060,0.0,0.09465550547327753,0.0,0.0,1.0,False
class:Aromatic,0,20,3960,31060,0.0,0.12749517063747584,0.0,0.0,1.0,False
class:Sulfur,0,20,780,31060,0.0,0.025112685125563427,0.0,0.0,1.0,False
class:Aliphatic,0,20,6240,31060,0.0,0.20090148100450742,0.0,0.0,1.0,False
flag:is_charged,20,20,31060,31060,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4680,31060,0.0,0.15067611075338055,0.0,0.0,1.0,False
