group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:GLU,11,20,1129,31060,0.55,0.036349001931745006,15.13108945969885,32.402421021552996,1.911254591432523e-11,True
class:Acidic,11,20,2389,31060,0.55,0.07691564713457824,7.15069066555044,14.668201479000977,4.965392200787748e-08,True
flag:is_polar,20,20,15580,31060,1.0,0.501609787508049,1.993581514762516,inf,1.0238482302373756e-06,True
type:ASN,5,20,2815,31060,0.25,0.09063103670315519,2.758436944937833,3.3445825932504443,0.02990654375054124,True
type:THR,4,20,2996,31060,0.2,0.09645846748229234,2.0734312416555407,2.341789052069426,0.12067913197235616,False
class:Polar_uncharged,9,20,10251,31060,0.45,0.3300386349001932,1.363476733977173,1.6608667890494053,0.18201034417528517,False
type:LYS,0,20,960,31060,0.0,0.030907920154539602,0.0,0.0,1.0,False
type:GLY,0,20,2460,31060,0.0,0.07920154539600772,0.0,0.0,1.0,False
type:ASP,0,20,1260,31060,0.0,0.04056664520283323,0.0,0.0,1.0,False
type:VAL,0,20,1320,31060,0.0,0.04249839021249195,0.0,0.0,1.0,False
type:HIS,0,20,720,31060,0.0,0.0231809401159047,0.0,0.0,1.0,False
type:SER,0,20,2400,31060,0.0,0.07726980038634901,0.0,0.0,1.0,False
type:TYR,0,20,1620,31060,0.0,0.05215711526078558,0.0,0.0,1.0,False
type:GLN,0,20,2040,31060,0.0,0.06567933032839665,0.0,0.0,1.0,False
type:ALA,0,20,1500,31060,0.0,0.04829362524146812,0.0,0.0,1.0,False
type:ILE,0,20,1320,31060,0.0,0.04249839021249195,0.0,0.0,1.0,False
type:MET,0,20,480,31060,0.0,0.015453960077269801,0.0,0.0,1.0,False
type:PHE,0,20,1620,31060,0.0,0.05215711526078558,0.0,0.0,1.0,False
type:LEU,0,20,2100,31060,0.0,0.06761107533805538,0.0,0.0,1.0,False
type:TRP,0,20,720,31060,0.0,0.0231809401159047,0.0,0.0,1.0,False
type:CYS,0,20,300,31060,0.0,0.009658725048293626,0.0,0.0,1.0,False
type:PRO,0,20,2040,31060,0.0,0.06567933032839665,0.0,0.0,1.0,False
class:Special,0,20,4500,31060,0.0,0.1448808757244044,0.0,0.0,1.0,False
type:ARG,0,20,1260,31060,0.0,0.04056664520283323,0.0,0.0,1.0,False
class:Basic,0,20,2940,31060,0.0,0.09465550547327753,0.0,0.0,1.0,False
class:Aliphatic,0,20,6240,31060,0.0,0.20090148100450742,0.0,0.0,1.0,False
class:Sulfur,0,20,780,31060,0.0,0.025112685125563427,0.0,0.0,1.0,False
class:Aromatic,0,20,3960,31060,0.0,0.12749517063747584,0.0,0.0,1.0,False
flag:is_charged,20,20,31060,31060,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4680,31060,0.0,0.15067611075338055,0.0,0.0,1.0,False
