group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
type:SER,5,20,2755,30700,0.25,0.08973941368078175,2.7858439201451906,3.381125226860254,0.02879809933246747,True
flag:is_polar,14,20,14866,30700,0.7,0.4842345276872964,1.4455805193057985,2.485268397685995,0.043125504853446836,True
type:GLY,4,20,2216,30700,0.2,0.07218241042345278,2.770758122743682,3.213447653429603,0.05192760244131872,False
class:Polar_uncharged,10,20,9350,30700,0.5,0.30456026058631924,1.641711229946524,2.283422459893048,0.05289889703216165,False
type:GLN,2,20,1498,30700,0.1,0.048794788273615636,2.0493991989319094,2.1659991099243436,0.2553136816199939,False
class:Special,4,20,4376,30700,0.2,0.14254071661237785,1.4031078610603291,1.5038848263254114,0.31641623105597905,False
type:ALA,2,20,1798,30700,0.1,0.05856677524429967,1.7074527252502782,1.78605858361142,0.3290150050895139,False
type:LYS,1,20,839,30700,0.05,0.02732899022801303,1.829558998808105,1.8732199987453735,0.42573533927176965,False
class:Acidic,2,20,2638,30700,0.1,0.08592833876221498,1.1637604245640638,1.181956027293404,0.5225793958441013,False
type:ASN,2,20,2638,30700,0.1,0.08592833876221498,1.1637604245640638,1.181956027293404,0.5225793958441013,False
type:GLU,1,20,1139,30700,0.05,0.037100977198697066,1.347673397717296,1.3659719975971536,0.5307161576004487,False
type:ARG,1,20,1259,30700,0.05,0.041009771986970686,1.2192216044479747,1.230759583629447,0.567370937362834,False
class:Basic,2,20,2878,30700,0.1,0.09374592833876222,1.0667129951355108,1.0741255501505675,0.5715754847842827,False
type:ASP,1,20,1499,30700,0.05,0.04882736156351791,1.0240160106737826,1.0252800112355605,0.632682130656331,False
type:THR,1,20,2459,30700,0.05,0.08009771986970685,0.6242374949166327,0.6044605209648766,0.8117283187497203,False
class:Aliphatic,2,20,6538,30700,0.1,0.2129641693811075,0.46956255735698993,0.4106250637299888,0.9466563959141349,False
type:LEU,0,20,1980,30700,0.0,0.06449511400651466,0.0,0.0,1.0,False
type:ILE,0,20,1140,30700,0.0,0.03713355048859935,0.0,0.0,1.0,False
type:VAL,0,20,1620,30700,0.0,0.05276872964169381,0.0,0.0,1.0,False
type:TRP,0,20,720,30700,0.0,0.023452768729641693,0.0,0.0,1.0,False
type:PRO,0,20,2160,30700,0.0,0.07035830618892508,0.0,0.0,1.0,False
type:PHE,0,20,1800,30700,0.0,0.05863192182410423,0.0,0.0,1.0,False
type:CYS,0,20,300,30700,0.0,0.009771986970684038,0.0,0.0,1.0,False
type:HIS,0,20,780,30700,0.0,0.025407166123778503,0.0,0.0,1.0,False
type:TYR,0,20,1440,30700,0.0,0.046905537459283386,0.0,0.0,1.0,False
type:MET,0,20,660,30700,0.0,0.021498371335504887,0.0,0.0,1.0,False
class:Sulfur,0,20,960,30700,0.0,0.031270358306188926,0.0,0.0,1.0,False
class:Aromatic,0,20,3960,30700,0.0,0.1289902280130293,0.0,0.0,1.0,False
flag:is_charged,20,20,30700,30700,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4740,30700,0.0,0.1543973941368078,0.0,0.0,1.0,False
