group,n_in_top,n_top,n_in_rest,n_rest,freq_in_top,freq_in_rest,fold_enrichment,odds_ratio,p_value,significant
flag:is_polar,18,20,15162,31000,0.9,0.4890967741935484,1.8401266323703995,9.401266323703997,0.00014130802877523101,True
class:Polar_uncharged,13,20,9347,31000,0.65,0.30151612903225805,2.1557719054242006,4.302205444069144,0.001353005805105491,True
type:LYS,3,20,1137,31000,0.15,0.03667741935483871,4.089709762532982,4.634952661803507,0.03539741054514863,True
type:GLN,3,20,1497,31000,0.15,0.04829032258064516,3.106212424849699,3.477896970411411,0.06965375416869937,False
type:ASN,4,20,2636,31000,0.2,0.08503225806451613,2.3520485584218513,2.690060698027314,0.08457637367707603,False
type:SER,4,20,2756,31000,0.2,0.08890322580645162,2.2496371552975325,2.5620464441219157,0.09609023551451185,False
class:Basic,4,20,3176,31000,0.2,0.10245161290322581,1.9521410579345089,2.190176322418136,0.14205763815605796,False
type:THR,2,20,2458,31000,0.1,0.07929032258064517,1.2611879576891782,1.2902088418768647,0.47846926889962593,False
type:ARG,1,20,1259,31000,0.05,0.04061290322580645,1.231135822081017,1.2433008653484385,0.5637755588106882,False
type:ASP,1,20,1499,31000,0.05,0.04835483870967742,1.0340226817878586,1.0358133492503774,0.629015326260848,False
type:ALA,1,20,1799,31000,0.05,0.05803225806451613,0.8615897720956087,0.8543050232585354,0.6975842360646438,False
type:GLY,1,20,2219,31000,0.05,0.07158064516129033,0.6985128436232537,0.6826450985507934,0.7736352764162598,False
class:Acidic,1,20,2639,31000,0.05,0.08512903225806452,0.5873436907919667,0.5656249376757544,0.8312808440147308,False
class:Special,1,20,4379,31000,0.05,0.14125806451612904,0.35396209180178123,0.3199600966334539,0.9524214738116157,False
class:Aliphatic,1,20,6539,31000,0.05,0.21093548387096775,0.23703930264566447,0.1968834764691205,0.9912364231152273,False
type:PHE,0,20,1800,31000,0.0,0.05806451612903226,0.0,0.0,1.0,False
type:MET,0,20,660,31000,0.0,0.02129032258064516,0.0,0.0,1.0,False
type:HIS,0,20,780,31000,0.0,0.025161290322580646,0.0,0.0,1.0,False
type:GLU,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:LEU,0,20,1980,31000,0.0,0.06387096774193549,0.0,0.0,1.0,False
type:VAL,0,20,1620,31000,0.0,0.052258064516129035,0.0,0.0,1.0,False
type:PRO,0,20,2160,31000,0.0,0.0696774193548387,0.0,0.0,1.0,False
type:CYS,0,20,300,31000,0.0,0.00967741935483871,0.0,0.0,1.0,False
type:ILE,0,20,1140,31000,0.0,0.036774193548387096,0.0,0.0,1.0,False
type:TYR,0,20,1440,31000,0.0,0.04645161290322581,0.0,0.0,1.0,False
type:TRP,0,20,720,31000,0.0,0.023225806451612905,0.0,0.0,1.0,False
class:Sulfur,0,20,960,31000,0.0,0.03096774193548387,0.0,0.0,1.0,False
class:Aromatic,0,20,3960,31000,0.0,0.12774193548387097,0.0,0.0,1.0,False
flag:is_charged,20,20,31000,31000,1.0,1.0,1.0,,1.0,False
flag:is_aromatic,0,20,4740,31000,0.0,0.1529032258064516,0.0,0.0,1.0,False
